Program,site_id,Site Name,Site ID OPSEL,Opsel,Penyedia MSS,Paket Penyedia MSS,Provinsi,Kabupaten,Kecamatan,Desa,latitude,longitude,radius_km,Transmisi,BW,K2-K3 Kategori,Availability,Accessibility,Retainability,Traffic Total,User,Problem Availability,Sub Problem Category
BTS USO,22ATB014,MUNRAE,1901B530400696,INDOSAT,PT. Bintang Komunikasi Utama,,NUSA TENGGARA TIMUR,BELU,RAIMANUK,MUNRAE,-9.362551,124.9431,3,,8,,,,,,,,
BTS USO,UXQ079,BAKITOLAS,1901B530301050,TELKOMSEL,PT. Bintang Komunikasi Utama,,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,NAIBENU,BAKITOLAS,-9.299583,124.502,3,,8,,,,,,,,
BTS USO,UXX046,RUMAH LEWANG BESAR EKS TEPA,1901B810800974,TELKOMSEL,PT. Bintang Komunikasi Utama,,MALUKU,MALUKU BARAT DAYA,WETANG,RUMAH LEWANG BESAR EKS TEPA,-7.88166,129.52194,3,,8,,,,,,,,
BTS USO,UXW090,MAIDI,1917B827200757,TELKOMSEL,PT. Bintang Komunikasi Utama,,MALUKU UTARA,TIDORE KEPULAUAN,OBA SELATAN,MAIDI,0.12534,127.7022,3,,8,,,,,,,,
BTS USO,KLS0039,DAMBUNG RAYA,1905B630900072,XL,PT. Berca Hardayaperkasa,,KALIMANTAN SELATAN,TABALONG,BINTANG ARA,DAMBUNG RAYA,-1.668611111,115.3969444,3,,8,,,,,,,,
BTS USO,UXW064,YAO,1901B820700298,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU UTARA,PULAU MOROTAI,MOROTAI UTARA,YAO,2.33277,128.6399,3,,8,,,,,,,,
BTS USO,KLS0037,PANAAN,1905B630900077,XL,PT. Berca Hardayaperkasa,,KALIMANTAN SELATAN,TABALONG,BINTANG ARA,PANAAN,-1.852778,115.3625,3,,8,,,,,,,,
BTS USO,UYO064,MUTIMANGGE,1904B911600659,TELKOMSEL,PT. Pola Penawar Bangun Semesta,,PAPUA SELATAN,BOVEN DIGOEL,JAIR,MUTIMANGGE,-6.688477,140.751316,3,,8,,,,,,,,
BTS USO,NTT0016,SATAR PUNDA,1903B531900572,XL,PT. Berca Hardayaperkasa,,NUSA TENGGARA TIMUR,MANGGARAI TIMUR,LAMBA LEDA,SATAR PUNDA,-8.323586,120.5178,3,,8,,,,,,,,
BTS USO,NTB0017,KAWUWU,1901B520600106,XL,PT. Bintang Komunikasi Utama,,NUSA TENGGARA BARAT,BIMA,LANGGUDU,KAWUWU,-8.622778,118.781389,3,,8,,,,,,,,
BTS USO,33TOB009,MARGOMULYO,1904B820300137,INDOSAT,PT. Dayamitra Telekomunikasi,,MALUKU UTARA,HALMAHERA UTARA,TOBELO BARAT,MARGOMULYO,1.3528164,127.7966649,3,,8,,,,,,,,
BTS USO,UYP121,YOPENGGAR,1917B920700817,TELKOMSEL,PT. Bintang Komunikasi Utama,,PAPUA BARAT,TELUK WONDAMA,DUAIRI,YOPENGGAR,-2.48267,134.583,3,,8,,,,,,,,
BTS USO,UXQ083,TUDE,1917B530501037,TELKOMSEL,PT. Bintang Komunikasi Utama,,NUSA TENGGARA TIMUR,ALOR,PANTAR TENGAH,TUDE,-8.447222,124.056666,3,,8,,,,,,,,
BTS USO,UYP117,YOMBER,1917B920700807,TELKOMSEL,PT. Bintang Komunikasi Utama,,PAPUA BARAT,TELUK WONDAMA,ROSWAR,YOMBER,-2.0975,134.38688,3,,8,,,,,,,,
BTS USO,UQH824,SALIGUMA,1917B130900795,TELKOMSEL,PT. Bintang Komunikasi Utama,,SUMATERA BARAT,KEPULAUAN MENTAWAI,SIBERUT TENGAH,SALIGUMA,-1.44672,99.11094,3,,8,,,,,,,,
BTS USO,UYP114,BAGUNG,1917B920100810,TELKOMSEL,PT. Bintang Komunikasi Utama,,PAPUA BARAT DAYA,SORONG,BERAUR,BAGUNG,-1.27409,131.59125,3,,8,,,,,,,,
BTS USO,UXX057,RUMAHWEY,1917B810100179,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU,MALUKU TENGAH,SERAM UTARA BARAT,RUMAHWEY,-2.868025,128.847092,3,,8,,,,,,,,
BTS USO,NTB0019,LEBIN,1901B520400103,XL,PT. Bintang Komunikasi Utama,,NUSA TENGGARA BARAT,SUMBAWA,ROPANG,LEBIN,-8.80994,117.4467,3,,8,,,,,,,,
BTS USO,UXX085,PAPAKULA,1901B810700207,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU,KEPULAUAN ARU,ARU TENGAH,PAPAKULA,-6.0399,134.3446,3,,8,,,,,,,,
BTS USO,UXX084,KOBASEL TIMUR,1901B810700200,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU,KEPULAUAN ARU,ARU TENGAH,KOBASEL TIMUR,-6.456139,134.6411,3,,8,,,,,,,,
BTS USO,UXW028,BARATAKU,1901B820100280,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU UTARA,HALMAHERA BARAT,LOLODA,BARATAKU,1.86709,127.667,3,,8,,,,,,,,
BTS USO,UXQ131,LENUPETU,1901B531400749,TELKOMSEL,PT. Bintang Komunikasi Utama,,NUSA TENGGARA TIMUR,ROTE NDAO,PANTAI BARU,LENUPETU,-10.731944,123.259722,3,,8,,,,,,,,
BTS USO,UYO063,UMAP,1904B911600665,TELKOMSEL,PT. Pola Penawar Bangun Semesta,,PAPUA SELATAN,BOVEN DIGOEL,WAROPKO,UMAP,-5.954933,140.7795,3,,8,,,,,,,,
BTS USO,UXB058,SURUH ENGKADOK,1901B610301053,TELKOMSEL,PT. Bintang Komunikasi Utama,,KALIMANTAN BARAT,SANGGAU,ENTIKONG,SURUH ENGKADOK,1.05463,110.19838,3,,8,,,,,,,,
BTS USO,UQT086,SABANG MAWANG,1917B210300040,TELKOMSEL,PT. Aprillia Profesional Teknologi,,KEPULAUAN RIAU,NATUNA,PULAU TIGA,SABANG MAWANG,3.6201883,108.12386,3,,40,,,,,,,,
BTS USO,UXX038,JAMBU AIR,1917B810700994,TELKOMSEL,PT. Bintang Komunikasi Utama,,MALUKU,KEPULAUAN ARU,ARU TENGAH SELATAN,JAMBU AIR,-6.487194,134.8368,3,,8,,,,,,,,
